link,title,newspaper
https://v.daum.net/v/20210117103254245,"중학생이 SNS에 자랑한 '100돈 순금팔찌' 뺏은 동네 형들, 집유 3년",뉴스1
https://v.daum.net/v/20210117102810182,조국 딸 의사시험 합격에..의사들 '찬성 vs 반대',뉴시스
https://v.daum.net/v/20210117114837513,오늘밤∼내일 오전 더 강한 눈 온다..수도권 최대 7cm 쌓일 듯,연합뉴스
https://v.daum.net/v/20210117041102821,"""어머니가 눈 감기 전 외삼촌들·이모와 연락 닿게 도와주세요""",서울신문
https://v.daum.net/v/20210117092546153,"국민의힘, 조국 딸 의사 국시 합격에..""文정권, 공정 입에 담지 말라""",아시아경제
https://v.daum.net/v/20210117093728379,[군사대로]주한미군이 수상하다..동북아 안정자에서 美中 경쟁 첨병으로,뉴시스
https://v.daum.net/v/20210117094544502,"서울·수도권·강원 한파로 꽁꽁..""오후부터 최대 15cm 폭설""",뉴스1
https://v.daum.net/v/20210117050009124,내일부터 카페에 앉아서 커피 마신다..교회 정규예배 일부 허용,연합뉴스
https://v.daum.net/v/20210117050122171,"[단독]""두살배기 아들 온몸 학대""..어린이집은 ""거짓말"" 펄쩍",중앙일보
https://v.daum.net/v/20210117070017903,[취재후] 쓰레기 쌓인 집 삼남매..사연은 이랬다,KBS
https://v.daum.net/v/20210117091920070,혹한 속 갓난 아이 창밖으로 던져 숨지게한 친모 체포,이데일리
https://v.daum.net/v/20210117110348821,"갤S21 구성품에 충전기 빠진 이유는..삼성 ""재활용 분위기 촉진""",연합뉴스
https://v.daum.net/v/20210117111101938,"""공매도, 신용거래보다 39배 벌었다""..개미의 눈물",서울신문
https://v.daum.net/v/20210117090000746,"[단독] 양정철, 이낙연 만나 '사면론' 제안했다",오마이뉴스
https://v.daum.net/v/20210117080024237,마산 해양 신도시 매립 과정 사라진 불도저 4년만에 펄 밖으로,연합뉴스
https://v.daum.net/v/20210117080004209,"""구글·애플·페북 왜 필요해?"" 디지털 후진국 추락한 日의 현실",머니투데이
https://v.daum.net/v/20210117000638858,"화이자 백신 사망사고 잇따르자 신난 중국 ""중국산이 안전해""",뉴스1
https://v.daum.net/v/20210117105858642,반노동 정서 심해졌나..LG트윈타워 청소 노동자에게 쏟아진 혐오,경향신문
https://v.daum.net/v/20210117050039160,"탄핵심판 받는 트럼프, 지지율도 곤두박질..최저치 기록",연합뉴스
https://v.daum.net/v/20210117080027239,"퇴역 여객기로 만든 대한항공 네임택, '항공 덕후' 사이에서 난리",조선비즈
https://v.daum.net/v/20210117091644017,외환위기 때만큼 힘든 2030..더 힘든 4050,머니투데이
https://v.daum.net/v/20210117070055928,"[사건의 재구성]""뭘 그런 일로 화내나"" 말에 살인자로 돌변한 옆집 남자",뉴스1
https://v.daum.net/v/20210117070706992,[특파원 시선] 공화당의 뒤늦은 후회..미국 대통령제의 민낯?,연합뉴스
https://v.daum.net/v/20210117092751183,인터콥 꼬리자르기 나선 개신교계..시선은 '싸늘',이데일리
https://v.daum.net/v/20210117070705990,[뉴스톡톡]다시 번지는 남양유업 '불매운동'..대리점 고통 줄이려면,뉴스1
https://v.daum.net/v/20210117015101274,"한국 군사력 세계 6위, 北 28위..""유럽국 압도 이유는?""",이데일리
https://v.daum.net/v/20210117093159256,"윤서인글 본 장준하子 ""대충 산 게 아니라 헛 산거 같아 슬프다""",뉴스1
https://v.daum.net/v/20210117091621012,"""농막도 팔아야 하나""..민주당 다주택 압박에 기초의원 골머리",연합뉴스
https://v.daum.net/v/20210117070151943,"與, 검사 직급 낮추나..""초임 3급 지나치게 높아""",연합뉴스
https://v.daum.net/v/20210117112209123,"김남국, '김학의 출금' 수사에 ""윤석열의 보복 수사""",뉴시스
https://v.daum.net/v/20210117070039920,"스마트워치로 감염 파악, 1초 만에 99% 살균..코로나19 전자 전시회 된 CES",조선비즈
https://v.daum.net/v/20210117070004892,'잃어버린 시대' 갇힌 일본..'한국 때리기'의 속내는 열등감,머니투데이
https://v.daum.net/v/20210117080011219,"문준용씨, '특혜채용' 의혹 수사자료 공개 소송 승소",연합뉴스
https://v.daum.net/v/20210117112844228,"오세훈, '조건부' 떼고 서울시장 출사표..""10년전 빚 책임감""",연합뉴스
https://v.daum.net/v/20210117095602676,"전쟁터 막사로 변한 美국회의사당, 내부 들어가보니..",동아일보
https://v.daum.net/v/20210117045836112,국산 장갑차 호주시장 '노크' ..방산시장 새해 활로 모색,YTN
https://v.daum.net/v/20210117082335441,"北 무기개발·열병식에 美 전문가들 ""속임수..20년 걸릴 것""",뉴시스
https://v.daum.net/v/20210117092922209,"술 마시고 운전하던 현직 경찰관, 음주 단속반에 적발",연합뉴스
https://v.daum.net/v/20210117112004091,"박용진, '공매도 재개' 금융위 저격..""총리도 무시하는 관료들""",머니투데이
https://v.daum.net/v/20210117060121545,"난 실직위기, 옆에선 부동산·증시서 떼돈..커지는 'K자 양극화'",연합뉴스
https://v.daum.net/v/20210117093039230,'제설 작업에 불만'..아파트 경비원 폭행한 편의점 직원,연합뉴스
https://v.daum.net/v/20210117083054509,연일 치솟는 휘발유값에..누구 주머니가 채워졌을까?,뉴스1
https://v.daum.net/v/20210117103741309,"유엔이 보낸 '서해 공무원 피살' 혐의서한..""유족 정보접근 제한""",뉴스1
https://v.daum.net/v/20210117083022505,20대 간호조무사 강제추행 50대 한의사 징역 8개월,뉴시스
https://v.daum.net/v/20210117051802260,남양주 6호선 변경에 주민들 반발..조응천과도 공방,노컷뉴스
https://v.daum.net/v/20210117050104165,"기도삽관 잘못해 영아 숨지게 한 대학병원, 손해배상 책임",뉴시스
https://v.daum.net/v/20210117070607978,박원순이 사랑한 제로페이의 운명은?..지난해 결제액 '13배 증가',뉴스1
https://v.daum.net/v/20210117073404107,음식배달 1건에 2만원..쿠팡이츠 vs 배민 '강남 전쟁',머니투데이
